metadata,category
hazard:bicycle,hazards and goods transportation
hazard:forward,hazards and goods transportation
hazard_prone,hazards and goods transportation
hazard_type,hazards and goods transportation
hazmat,hazards and goods transportation
hazmat:0,hazards and goods transportation
hazmat:1,hazards and goods transportation
hazmat:1.1,hazards and goods transportation
hazmat:1.2,hazards and goods transportation
hazmat:1.3,hazards and goods transportation
hazmat:1:conditional,hazards and goods transportation
hazmat:2,hazards and goods transportation
hazmat:2.1,hazards and goods transportation
hazmat:2.1:conditional,hazards and goods transportation
hazmat:3,hazards and goods transportation
hazmat:4,hazards and goods transportation
hazmat:5.2,hazards and goods transportation
hazmat:6.1,hazards and goods transportation
hazmat:6.1:conditional,hazards and goods transportation
hazmat:lanes,lanes
hazmat:ox,hazards and goods transportation
headlight,other
healthcare,other
heated,other
height,other
height_restriction,other
heritage,other
heritage:name,names
heritage:operator,other
heritage:since,other
heritage:website,other
hgih,other
hgv,hazards and goods transportation
hgv:backward,hazards and goods transportation
hgv:conditional,hazards and goods transportation
hgv:forward,hazards and goods transportation
hgv:hour_off,hazards and goods transportation
hgv:hour_on,hazards and goods transportation
hgv:lanes,lanes
hgv:lanes:backward,lanes
hgv:lanes:forward,lanes
hgv:minaxles,hazards and goods transportation
hgv:minlength,other limits
hgv:minweight,hazards and goods transportation
hgv:nation,hazards and goods transportation
hgv:national_network,hazards and goods transportation
hgv:night,hazards and goods transportation
hgv:note,hazards and goods transportation
hgv:state_network,hazards and goods transportation
hgv:tandem,hazards and goods transportation
hgv_1,hazards and goods transportation
hgv_articulated,hazards and goods transportation
hgv_articulated:conditional,hazards and goods transportation
hide,other
highspeed,speed limits
highway:category:pl,other
highway:demolished,life_cycle
highway:historical,other
highway:lanes,lanes
highway:note,other
highway:parking,parking
highway:proposed,life_cycle
highway:source,sources for metadata
highway_1,other
highway_2,other
highway_3,other
highway_authority_ref,other
highways_england:area,other
hiking,pedestrian
hint,other
hire,other
hiser,other
hist_ref,other
historic,other
historic:aeroway,other
historic:end_date,other
historic:gauge,other
historic:highway,other
historic:maxspeed,speed limits
historic:name,names
historic:operator,other
historic:railway,other
historic:ref,other
historic:service,other
historic:start_date,other
historic_name,names
historical,other
historical_name,names
hiu,other
hmv,other
honorary_name,names
horse,other
horse:advisory,other
horse:conditional,other
horse:forward,other
horse_scale,other
horse_trailer,other
hospital,other
hot,other
hotel,other
hour_off,other
hour_on,other
hours:hgv,other
house,other
hov,other
hov:backward:conditional,other
hov:conditional,other
hov:forward,other
hov:forward:conditional,other
hov:lanes,lanes
hov:lanes:backward,lanes
hov:lanes:conditional,lanes
